Pod_number,Pod_date,Pod_Amount,State_Code,State_Name,Place_Code,Place_Name,Party_ID,Party_Name,Branch_Name,Bill_Code,Bill_No,Bill_Date,Party_ID,Bill_Amount,Sales_Year
2448310,11-07-2017,30,1,MAHARASHTRA,2668,SANGLI,1,AADI PLASTIC INDUSTRIES PVT LTD,KOLHAPUR,96,KHR/00001/2017 ,31-07-2017,1,210,2016
2448440,20-07-2017,30,1,MAHARASHTRA,5198,SOLAPUR,1,AADI PLASTIC INDUSTRIES PVT LTD,KOLHAPUR,96,KHR/00001/2017 ,31-07-2017,1,210,2016
2448485,24-07-2017,40,2,KARNATAKA,1563,BELGAUM,1,AADI PLASTIC INDUSTRIES PVT LTD,KOLHAPUR,96,KHR/00001/2017 ,31-07-2017,1,210,2016
2448605,27-07-2017,40,2,KARNATAKA,1563,BELGAUM,1,AADI PLASTIC INDUSTRIES PVT LTD,KOLHAPUR,96,KHR/00001/2017 ,31-07-2017,1,210,2016
2448661,29-07-2017,30,1,MAHARASHTRA,5198,SOLAPUR,1,AADI PLASTIC INDUSTRIES PVT LTD,KOLHAPUR,96,KHR/00001/2017 ,31-07-2017,1,210,2016
2450913,05-08-2017,150,1,MAHARASHTRA,5198,SOLAPUR,1,AADI PLASTIC INDUSTRIES PVT LTD,KOLHAPUR,238,KHR/00128/2017 ,31-08-2017,1,440,2016
2450934,07-08-2017,40,2,KARNATAKA,2669,SANKESHWAR,1,AADI PLASTIC INDUSTRIES PVT LTD,KOLHAPUR,238,KHR/00128/2017 ,31-08-2017,1,440,2016
2451044,12-08-2017,30,1,MAHARASHTRA,5198,SOLAPUR,1,AADI PLASTIC INDUSTRIES PVT LTD,KOLHAPUR,238,KHR/00128/2017 ,31-08-2017,1,440,2016
2451083,16-08-2017,30,1,MAHARASHTRA,2668,SANGLI,1,AADI PLASTIC INDUSTRIES PVT LTD,KOLHAPUR,238,KHR/00128/2017 ,31-08-2017,1,440,2016
2451091,17-08-2017,30,1,MAHARASHTRA,5198,SOLAPUR,1,AADI PLASTIC INDUSTRIES PVT LTD,KOLHAPUR,238,KHR/00128/2017 ,31-08-2017,1,440,2016
2451092,17-08-2017,30,1,MAHARASHTRA,5198,SOLAPUR,1,AADI PLASTIC INDUSTRIES PVT LTD,KOLHAPUR,238,KHR/00128/2017 ,31-08-2017,1,440,2016
2451134,19-08-2017,30,1,MAHARASHTRA,2668,SANGLI,1,AADI PLASTIC INDUSTRIES PVT LTD,KOLHAPUR,238,KHR/00128/2017 ,31-08-2017,1,440,2016
2451157,21-08-2017,30,1,MAHARASHTRA,1522,AHMEDNAGAR,1,AADI PLASTIC INDUSTRIES PVT LTD,KOLHAPUR,238,KHR/00128/2017 ,31-08-2017,1,440,2016
2451158,21-08-2017,40,20,HARIYANA,2392,HARYANA,1,AADI PLASTIC INDUSTRIES PVT LTD,KOLHAPUR,238,KHR/00128/2017 ,31-08-2017,1,440,2016
2451180,22-08-2017,30,1,MAHARASHTRA,5198,SOLAPUR,1,AADI PLASTIC INDUSTRIES PVT LTD,KOLHAPUR,238,KHR/00128/2017 ,31-08-2017,1,440,2016
2442950,04-09-2017,30,1,MAHARASHTRA,5198,SOLAPUR,1,AADI PLASTIC INDUSTRIES PVT LTD,KOLHAPUR,375,KHR/00246/2017 ,30-09-2017,1,660,2016
2442951,04-09-2017,30,1,MAHARASHTRA,1787,NAGPUR,1,AADI PLASTIC INDUSTRIES PVT LTD,KOLHAPUR,375,KHR/00246/2017 ,30-09-2017,1,660,2016
2463818,13-09-2017,30,1,MAHARASHTRA,5198,SOLAPUR,1,AADI PLASTIC INDUSTRIES PVT LTD,KOLHAPUR,375,KHR/00246/2017 ,30-09-2017,1,660,2016
2463851,15-09-2017,30,1,MAHARASHTRA,1522,AHMEDNAGAR,1,AADI PLASTIC INDUSTRIES PVT LTD,KOLHAPUR,375,KHR/00246/2017 ,30-09-2017,1,660,2016
2463859,15-09-2017,150,1,MAHARASHTRA,2668,SANGLI,1,AADI PLASTIC INDUSTRIES PVT LTD,KOLHAPUR,375,KHR/00246/2017 ,30-09-2017,1,660,2016
2463860,15-09-2017,150,1,MAHARASHTRA,1840,PUNE,1,AADI PLASTIC INDUSTRIES PVT LTD,KOLHAPUR,375,KHR/00246/2017 ,30-09-2017,1,660,2016
