order_id,payment_sequential,payment_type,payment_type,payment_value
2448310,1,credit_card,cash,210
2448440,1,credit_card,credit_card,210
2448485,1,credit_card,credit_card,210
2448605,1,credit_card,cash,210
2448661,1,credit_card,credit_card,210
2450913,1,credit_card,credit_card,440
2450934,1,credit_card,credit_card,440
2451044,1,credit_card,credit_card,440
2451083,1,credit_card,credit_card,440
2451091,1,boleto,credit_card,440
2451092,1,credit_card,credit_card,440
2451134,1,credit_card,cash,440
2451157,1,credit_card,credit_card,440
2451158,1,credit_card,credit_card,440
2451180,1,credit_card,credit_card,440
2442950,1,credit_card,credit_card,660
2442951,1,credit_card,credit_card,660
2463818,1,credit_card,credit_card,660
2463851,1,credit_card,credit_card,660
2463859,1,credit_card,credit_card,660
2463860,1,credit_card,credit_card,660
2463975,1,credit_card,cash,660
2464025,1,credit_card,cash,660
2464035,1,credit_card,credit_card,660
2464059,1,boleto,debit_card,660
2463932,1,voucher,cash,660
2463933,1,credit_card,credit_card,660
2463934,1,credit_card,credit_card,660
21212121,1,credit_card,cash,10
4451184,1,boleto,cash,100
2407783,1,credit_card,credit_card,1520
2407784,1,credit_card,credit_card,1520
2407785,1,credit_card,credit_card,1520
2407786,1,credit_card,credit_card,1520
2407787,1,credit_card,credit_card,1520
2407788,1,credit_card,credit_card,1520
2407789,1,credit_card,credit_card,1520
2407790,1,credit_card,cash,1520
2407791,1,credit_card,credit_card,1520
5419293,1,boleto,credit_card,1520
2407792,1,credit_card,credit_card,1520
5419296,1,credit_card,credit_card,1520
2407794,1,boleto,credit_card,1520
2407795,1,credit_card,credit_card,1520
2407796,1,boleto,credit_card,1520
2407797,1,credit_card,credit_card,1520
2407798,1,credit_card,credit_card,1520
2407799,1,credit_card,cash,1520
2407800,1,credit_card,debit_card,1520
2407801,1,credit_card,credit_card,1520
2407802,1,credit_card,credit_card,1520
2407803,1,credit_card,cash,1520
2407804,1,credit_card,cash,1520
2407793,1,boleto,credit_card,1520
2407805,1,boleto,credit_card,465
2407806,1,credit_card,credit_card,465
2450928,1,credit_card,credit_card,465
2450929,1,credit_card,credit_card,465
2407807,1,credit_card,credit_card,465
2407808,1,credit_card,credit_card,465
2407809,1,credit_card,credit_card,465
2407810,1,credit_card,cash,465
2407811,1,boleto,cash,465
2407812,1,credit_card,credit_card,465
2407814,1,boleto,credit_card,465
2407813,1,credit_card,credit_card,465
2407815,1,credit_card,credit_card,465
2407816,1,boleto,credit_card,465
2451165,1,voucher,credit_card,465
2407817,1,credit_card,coupons,465
2407818,1,voucher,coupons,465
2407819,1,credit_card,cash,465
2407820,1,boleto,cash,465
2407821,1,credit_card,cash,465
2407822,1,credit_card,cash,465
2442978,1,voucher,credit_card,575
2442979,1,credit_card,credit_card,575
2443079,1,credit_card,credit_card,575
2443080,1,credit_card,credit_card,575
2443081,1,credit_card,credit_card,575
2407823,1,credit_card,cash,575
2407824,1,credit_card,cash,575
2407825,1,credit_card,credit_card,575
2407826,1,credit_card,credit_card,575
2407827,1,credit_card,cash,575
2407828,1,debit_card,credit_card,575
2407829,1,credit_card,credit_card,575
2407830,1,credit_card,debit_card,575
2407831,1,credit_card,cash,575
2407832,1,credit_card,cash,575
2407833,1,credit_card,cash,575
2407834,1,credit_card,cash,575
2407835,1,credit_card,cash,575
2407836,1,credit_card,cash,575
2407837,1,credit_card,cash,575
2407838,1,credit_card,credit_card,575
2407839,1,credit_card,credit_card,575
2416064,1,credit_card,credit_card,2680
2416094,1,credit_card,cash,2680
5419263,1,credit_card,credit_card,2680
2448215,1,boleto,credit_card,2680
2448216,3,credit_card,coupons,2680
2448217,1,voucher,credit_card,2680
2448227,2,credit_card,coupons,2680
2448275,1,credit_card,cash,2680
2448294,1,credit_card,cash,2680
2448296,1,credit_card,credit_card,2680
2448295,1,boleto,credit_card,2680
2448335,1,credit_card,credit_card,2680
2448362,1,credit_card,credit_card,2680
2448372,1,credit_card,credit_card,2680
2448373,1,debit_card,credit_card,2680
2448374,1,credit_card,credit_card,2680
2448385,1,credit_card,coupons,2680
2448386,1,credit_card,cash,2680
2448401,1,credit_card,credit_card,2680
2448418,1,credit_card,credit_card,2680
2448419,1,credit_card,cash,2680
2448444,1,credit_card,credit_card,2680
2448445,1,credit_card,credit_card,2680
2448470,1,credit_card,credit_card,2680
2448471,1,voucher,credit_card,2680
2448606,1,credit_card,credit_card,2680
2448607,1,boleto,credit_card,2680
2448608,1,credit_card,credit_card,2680
2448629,1,boleto,credit_card,2680
2448630,1,credit_card,cash,2680
2448649,1,credit_card,credit_card,2680
2448650,1,credit_card,cash,2680
2448682,1,credit_card,credit_card,2680
2448689,1,boleto,credit_card,2330
2448690,1,credit_card,credit_card,2330
2448725,1,credit_card,credit_card,2330
2448726,1,voucher,credit_card,2330
2448727,1,boleto,credit_card,2330
2448728,1,credit_card,credit_card,2330
2448754,1,credit_card,coupons,2330
2450908,1,credit_card,credit_card,2330
2450909,1,credit_card,cash,2330
2450923,1,voucher,credit_card,2330
2450976,1,credit_card,credit_card,2330
2450977,1,credit_card,credit_card,2330
2450978,1,boleto,cash,2330
2450979,1,credit_card,credit_card,2330
2451002,1,boleto,credit_card,2330
2451050,1,credit_card,credit_card,2330
2451058,1,credit_card,credit_card,2330
2451086,1,credit_card,credit_card,2330
2451100,1,credit_card,cash,2330
2451113,1,credit_card,cash,2330
2451170,1,credit_card,credit_card,2330
2451171,1,boleto,cash,2330
2451172,1,credit_card,credit_card,2330
2451200,1,credit_card,credit_card,2330
2442825,1,credit_card,cash,2330
2442826,1,boleto,credit_card,2330
2442827,1,boleto,credit_card,2330
2442828,2,credit_card,coupons,2330
2442829,2,credit_card,coupons,2330
2442830,1,credit_card,credit_card,2330
2442831,1,credit_card,credit_card,2330
2442930,1,credit_card,credit_card,2160
2442931,1,credit_card,credit_card,2160
2442932,1,boleto,credit_card,2160
2449431,1,voucher,credit_card,2160
2449432,1,credit_card,credit_card,2160
2443022,1,voucher,credit_card,2160
2443032,1,credit_card,credit_card,2160
2443060,1,boleto,credit_card,2160
2443061,1,credit_card,cash,2160
2443062,1,credit_card,credit_card,2160
2443063,1,credit_card,credit_card,2160
2443066,1,credit_card,cash,2160
2443076,1,credit_card,credit_card,2160
2463803,1,credit_card,cash,2160
2463804,1,boleto,credit_card,2160
2463833,1,boleto,credit_card,2160
2463862,1,credit_card,credit_card,2160
2463863,1,boleto,credit_card,2160
2463967,1,credit_card,credit_card,2160
2463990,1,credit_card,credit_card,2160
2463888,1,voucher,credit_card,2160
2463889,1,voucher,credit_card,2160
2463898,1,credit_card,credit_card,2160
2463899,1,credit_card,credit_card,2160
2464018,1,boleto,cash,2160
2464026,1,credit_card,cash,2160
2464027,1,credit_card,credit_card,2160
2464041,2,credit_card,credit_card,2160
2464049,3,credit_card,coupons,2160
2464072,1,boleto,credit_card,2160
2464073,1,credit_card,cash,2160
2464074,1,credit_card,cash,2160
2464075,1,credit_card,cash,2160
2463921,1,credit_card,debit_card,2160
2463922,1,credit_card,credit_card,2160
2463942,1,credit_card,credit_card,2160
2440440,1,credit_card,credit_card,430
2440441,1,credit_card,cash,430
2440442,1,credit_card,credit_card,430
2440443,1,credit_card,credit_card,430
2440444,1,boleto,credit_card,430
2440446,1,credit_card,credit_card,430
2440447,1,credit_card,credit_card,430
2440448,2,credit_card,coupons,430
2440445,1,credit_card,credit_card,430
2440449,1,credit_card,credit_card,430
2440450,1,credit_card,credit_card,430
2440451,1,boleto,credit_card,430
2440452,1,voucher,credit_card,430
2440453,1,voucher,credit_card,430
2440454,1,credit_card,credit_card,430
2440455,1,boleto,credit_card,430
2440456,1,credit_card,cash,430
2440457,1,credit_card,credit_card,430
2440458,1,credit_card,credit_card,430
2440459,1,credit_card,credit_card,430
2440460,1,credit_card,credit_card,430
2440461,1,credit_card,credit_card,430
2440462,1,credit_card,credit_card,430
2440463,1,voucher,credit_card,430
2440464,1,boleto,credit_card,430
2440465,1,credit_card,credit_card,430
2440466,1,credit_card,credit_card,430
2440491,1,boleto,credit_card,1170
2440492,1,credit_card,credit_card,1170
2440493,1,credit_card,credit_card,1170
2440494,1,voucher,credit_card,1170
2440495,1,credit_card,cash,1170
2440496,1,credit_card,cash,1170
2440497,1,credit_card,credit_card,1170
2440498,1,credit_card,credit_card,1170
2440499,1,credit_card,cash,1170
2440500,1,boleto,cash,1170
2440501,1,boleto,credit_card,1170
2440502,2,voucher,coupons,1170
2440503,1,credit_card,cash,1170
2440504,1,credit_card,credit_card,1170
2440505,1,credit_card,credit_card,1170
2440506,1,debit_card,credit_card,1170
2440507,1,credit_card,credit_card,1170
2440508,1,credit_card,cash,1170
2440509,1,boleto,credit_card,1170
2440510,1,credit_card,credit_card,1170
2440468,1,boleto,credit_card,1170
2440469,1,voucher,cash,1170
2440470,1,credit_card,credit_card,1170
2440471,1,credit_card,credit_card,1170
2440472,1,boleto,credit_card,1170
2440511,1,boleto,credit_card,1170
2440473,1,credit_card,credit_card,1170
2440474,1,debit_card,cash,1170
2440512,1,debit_card,credit_card,1170
2440513,1,credit_card,credit_card,1170
2440514,1,credit_card,credit_card,1170
2440515,1,credit_card,credit_card,1170
2440516,1,debit_card,credit_card,1170
2440517,1,boleto,credit_card,1170
2440518,1,credit_card,credit_card,1170
2440519,1,credit_card,credit_card,1170
2440520,1,boleto,credit_card,1170
2440475,1,credit_card,credit_card,1170
2440521,1,credit_card,credit_card,1170
2440522,1,credit_card,credit_card,1170
2440476,1,credit_card,credit_card,1170
2440477,1,credit_card,credit_card,1170
2440478,1,credit_card,credit_card,1170
2440479,1,voucher,credit_card,1170
2440480,1,credit_card,credit_card,1170
2440481,1,credit_card,credit_card,1170
2440527,1,credit_card,credit_card,1170
2440483,1,credit_card,credit_card,1170
2440484,1,credit_card,credit_card,1170
2440523,1,credit_card,cash,1170
2440524,1,credit_card,credit_card,1170
2440525,1,voucher,credit_card,1170
2440526,1,boleto,credit_card,1170
2440528,1,credit_card,credit_card,1170
2440485,1,credit_card,debit_card,1170
2440486,1,credit_card,credit_card,1170
2440487,1,credit_card,credit_card,1170
2440488,1,credit_card,credit_card,1170
2440529,1,credit_card,credit_card,1170
2440530,1,credit_card,credit_card,1170
2440531,1,credit_card,credit_card,1170
2440489,1,voucher,credit_card,1170
2440532,1,credit_card,credit_card,1170
2440533,1,credit_card,credit_card,1170
2440534,1,credit_card,credit_card,1170
2440490,2,credit_card,coupons,1170
2440535,2,credit_card,coupons,1970
2440536,1,credit_card,credit_card,1970
2440537,2,credit_card,coupons,1970
2440538,1,credit_card,credit_card,1970
2440539,1,debit_card,credit_card,1970
2440540,1,boleto,credit_card,1970
2440541,1,credit_card,cash,1970
2440542,1,credit_card,credit_card,1970
2440543,1,credit_card,credit_card,1970
2440544,1,boleto,credit_card,1970
2440545,1,credit_card,credit_card,1970
2440546,1,voucher,cash,1970
2440547,1,credit_card,cash,1970
2440548,1,credit_card,credit_card,1970
2440549,1,credit_card,credit_card,1970
2440550,1,credit_card,credit_card,1970
2440551,1,credit_card,cash,1970
2440552,1,boleto,cash,1970
2440553,1,voucher,credit_card,1970
2440554,1,credit_card,credit_card,1970
2440555,1,credit_card,credit_card,1970
2440556,1,credit_card,coupons,1970
2440557,1,credit_card,credit_card,1970
2440558,1,credit_card,credit_card,1970
2440559,1,credit_card,credit_card,1970
2440560,1,boleto,credit_card,1970
2440561,1,credit_card,credit_card,1970
2440562,1,boleto,credit_card,1970
2440563,1,boleto,cash,1970
2440564,1,credit_card,credit_card,1970
2440565,1,boleto,credit_card,1970
2440566,1,credit_card,credit_card,1970
2440567,1,credit_card,cash,1970
2440568,1,credit_card,credit_card,1970
2440569,1,credit_card,credit_card,1970
2440570,1,boleto,debit_card,1970
2440571,1,boleto,debit_card,1970
2440572,1,boleto,coupons,1970
2440573,1,credit_card,credit_card,1970
2440574,1,credit_card,credit_card,1970
2416100,1,credit_card,credit_card,1480
2416353,1,credit_card,cash,1480
2416396,1,credit_card,cash,1480
2416397,1,credit_card,cash,1480
2416398,1,credit_card,cash,1480
2448241,1,credit_card,cash,1480
2448242,1,boleto,credit_card,1480
2448243,1,credit_card,cash,1480
2448263,1,credit_card,debit_card,1480
2448264,1,credit_card,credit_card,1480
2448377,1,credit_card,credit_card,1480
2448378,1,credit_card,credit_card,1480
2448379,1,credit_card,credit_card,1480
2448380,1,credit_card,credit_card,1480
2448390,1,credit_card,credit_card,1480
2448391,1,credit_card,cash,1480
2448422,1,credit_card,credit_card,1480
2448541,1,boleto,credit_card,1480
2448542,1,credit_card,credit_card,1480
2448591,1,credit_card,credit_card,1480
2448592,1,credit_card,credit_card,1480
2448593,1,boleto,credit_card,1480
2448595,1,voucher,credit_card,1480
2448596,1,boleto,credit_card,1480
2448597,1,voucher,debit_card,1480
2448598,1,credit_card,credit_card,1480
2448599,2,boleto,coupons,1480
2448600,1,boleto,credit_card,1480
2448638,1,boleto,coupons,1480
2448639,1,credit_card,credit_card,1480
2448640,1,credit_card,credit_card,1480
2448641,1,credit_card,credit_card,1480
2448651,1,credit_card,credit_card,1480
2448680,1,boleto,credit_card,1480
2448721,1,credit_card,credit_card,1070
2448722,1,credit_card,credit_card,1070
2448723,1,boleto,credit_card,1070
2448774,1,credit_card,credit_card,1070
2450901,1,credit_card,credit_card,1070
2450902,1,credit_card,cash,1070
2450903,1,boleto,credit_card,1070
2450912,1,credit_card,credit_card,1070
2451010,1,credit_card,credit_card,1070
2451011,1,credit_card,cash,1070
2451012,1,boleto,cash,1070
2451013,1,credit_card,credit_card,1070
2451014,1,credit_card,credit_card,1070
2451015,1,credit_card,credit_card,1070
2451016,1,credit_card,credit_card,1070
2451078,1,boleto,credit_card,1070
2451079,1,boleto,credit_card,1070
2451080,1,debit_card,credit_card,1070
2451107,1,credit_card,cash,1070
2451108,1,credit_card,cash,1070
2451109,1,credit_card,cash,1070
2451110,1,voucher,cash,1070
2451137,1,credit_card,credit_card,1070
2451138,1,credit_card,coupons,1070
2451136,1,credit_card,credit_card,1070
2451159,1,voucher,credit_card,1070
2451178,1,credit_card,cash,1070
2451179,1,credit_card,cash,1070
2451196,1,credit_card,credit_card,1070
2451197,1,credit_card,credit_card,1070
2442903,1,credit_card,credit_card,1070
2442904,1,credit_card,credit_card,1070
2442916,1,credit_card,credit_card,1115
2442917,1,credit_card,credit_card,1115
2442963,1,boleto,credit_card,1115
2442995,1,credit_card,credit_card,1115
2442996,1,credit_card,credit_card,1115
2443071,1,credit_card,credit_card,1115
2443072,1,credit_card,credit_card,1115
2443073,1,credit_card,debit_card,1115
2443074,1,boleto,cash,1115
2443089,1,credit_card,credit_card,1115
2443090,1,credit_card,credit_card,1115
2443091,1,boleto,credit_card,1115
2443092,1,credit_card,credit_card,1115
2443093,1,credit_card,credit_card,1115
2463820,1,credit_card,credit_card,1115
2463837,1,boleto,credit_card,1115
2463838,1,credit_card,credit_card,1115
2463839,1,boleto,credit_card,1115
2463964,1,credit_card,credit_card,1115
2463968,1,boleto,credit_card,1115
2464001,1,credit_card,credit_card,1115
2463887,1,credit_card,credit_card,1115
2464019,1,credit_card,credit_card,1115
2464067,1,credit_card,credit_card,1115
2464068,1,credit_card,credit_card,1115
2463929,1,boleto,credit_card,1115
2463930,1,credit_card,credit_card,1115
2463931,1,credit_card,credit_card,1115
2428135,1,credit_card,credit_card,415
2428136,1,boleto,credit_card,415
2428137,1,credit_card,cash,415
2428138,1,credit_card,credit_card,415
2428139,1,boleto,credit_card,415
2428134,1,credit_card,credit_card,415
2428146,1,credit_card,credit_card,415
2428147,1,credit_card,credit_card,415
2428154,1,credit_card,credit_card,415
2428155,1,voucher,credit_card,415
2428158,1,credit_card,credit_card,415
2428165,1,credit_card,credit_card,415
2428166,1,boleto,credit_card,415
2428159,1,credit_card,credit_card,415
2428160,1,credit_card,credit_card,415
2428161,1,credit_card,credit_card,415
2428162,1,credit_card,credit_card,415
2428163,1,credit_card,credit_card,415
2428164,1,credit_card,credit_card,415
2428168,1,boleto,credit_card,585
2428169,1,credit_card,cash,585
2428171,1,credit_card,credit_card,585
2428172,1,credit_card,credit_card,585
2428173,1,credit_card,credit_card,585
2428176,1,credit_card,credit_card,585
2428177,1,credit_card,cash,585
2428178,1,credit_card,credit_card,585
2428179,1,credit_card,credit_card,585
2428180,1,credit_card,credit_card,585
2428181,1,credit_card,credit_card,585
2428182,1,credit_card,credit_card,585
2428186,1,credit_card,credit_card,585
2428187,1,credit_card,credit_card,585
2428188,1,credit_card,credit_card,585
2428189,1,boleto,cash,585
2428190,1,credit_card,credit_card,585
2428191,1,boleto,credit_card,585
2428192,1,credit_card,credit_card,585
2428193,1,credit_card,credit_card,585
2428201,1,boleto,credit_card,585
2428203,1,credit_card,credit_card,585
2428204,1,credit_card,credit_card,585
2428205,1,credit_card,cash,585
2428210,1,credit_card,credit_card,410
2428211,1,boleto,cash,410
2428213,1,credit_card,credit_card,410
2428216,1,credit_card,credit_card,410
2428217,1,credit_card,credit_card,410
2428220,1,boleto,credit_card,410
2428221,1,boleto,credit_card,410
2428222,1,credit_card,credit_card,410
2428223,1,voucher,credit_card,410
2428224,1,credit_card,credit_card,410
2428225,1,debit_card,credit_card,410
2428227,1,credit_card,credit_card,410
2428228,1,credit_card,credit_card,410
2428229,1,credit_card,credit_card,410
2428238,1,credit_card,credit_card,410
2428239,1,credit_card,credit_card,410
2428240,1,credit_card,credit_card,410
2428246,1,credit_card,credit_card,410
2448225,1,credit_card,credit_card,80
2448226,1,credit_card,credit_card,80
2448434,1,credit_card,credit_card,80
2448441,1,credit_card,credit_card,80
2448714,1,credit_card,credit_card,570
2448715,1,credit_card,credit_card,570
2448716,1,credit_card,credit_card,570
2448717,1,boleto,credit_card,570
2448735,1,credit_card,credit_card,570
2448736,1,credit_card,credit_card,570
2448737,1,credit_card,credit_card,570
2448739,1,credit_card,cash,570
2448740,1,voucher,credit_card,570
2448738,1,credit_card,credit_card,570
2448762,1,boleto,credit_card,570
2448763,1,credit_card,credit_card,570
2448764,2,credit_card,coupons,570
2448765,1,credit_card,credit_card,570
2448766,1,boleto,cash,570
2448767,1,boleto,credit_card,570
2416380,1,credit_card,credit_card,105
2448402,1,credit_card,credit_card,105
2448403,1,voucher,credit_card,105
2448446,1,credit_card,credit_card,105
2448498,1,credit_card,credit_card,105
2377662,1,credit_card,credit_card,1420
2377663,1,credit_card,cash,1420
2377664,1,credit_card,credit_card,1420
2377665,1,credit_card,credit_card,1420
