order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
2448310,AADI PLASTIC INDUSTRIES PVT LTD,delivered,11-07-2016,11-07-2016,11-07-2016,11-07-2016,11-07-2016
2448440,AADI PLASTIC INDUSTRIES PVT LTD,delivered,20-07-2016,20-07-2016,20-07-2016,20-07-2016,20-07-2016
2448485,AADI PLASTIC INDUSTRIES PVT LTD,delivered,24-07-2016,24-07-2016,24-07-2016,24-07-2016,24-07-2016
2448605,AADI PLASTIC INDUSTRIES PVT LTD,delivered,27-07-2016,27-07-2016,27-07-2016,27-07-2016,27-07-2016
2448661,AADI PLASTIC INDUSTRIES PVT LTD,delivered,29-07-2016,29-07-2016,29-07-2016,29-07-2016,29-07-2016
2450913,AADI PLASTIC INDUSTRIES PVT LTD,delivered,05-08-2016,05-08-2016,05-08-2016,05-08-2016,05-08-2016
2450934,AADI PLASTIC INDUSTRIES PVT LTD,delivered,07-08-2016,07-08-2016,07-08-2016,07-08-2016,07-08-2016
2451044,AADI PLASTIC INDUSTRIES PVT LTD,delivered,12-08-2016,12-08-2016,12-08-2016,12-08-2016,12-08-2016
2451083,AADI PLASTIC INDUSTRIES PVT LTD,delivered,16-08-2016,16-08-2016,16-08-2016,16-08-2016,16-08-2016
2451091,AADI PLASTIC INDUSTRIES PVT LTD,delivered,17-08-2016,17-08-2016,17-08-2016,17-08-2016,17-08-2016
2451092,AADI PLASTIC INDUSTRIES PVT LTD,delivered,17-08-2016,17-08-2016,17-08-2016,17-08-2016,17-08-2016
2451134,AADI PLASTIC INDUSTRIES PVT LTD,delivered,19-08-2016,19-08-2016,19-08-2016,19-08-2016,19-08-2016
2451157,AADI PLASTIC INDUSTRIES PVT LTD,delivered,21-08-2016,21-08-2016,21-08-2016,21-08-2016,21-08-2016
2451158,AADI PLASTIC INDUSTRIES PVT LTD,delivered,21-08-2016,21-08-2016,21-08-2016,21-08-2016,21-08-2016
2451180,AADI PLASTIC INDUSTRIES PVT LTD,delivered,22-08-2016,22-08-2016,22-08-2016,22-08-2016,22-08-2016
2442950,AADI PLASTIC INDUSTRIES PVT LTD,delivered,04-09-2016,04-09-2016,04-09-2016,04-09-2016,04-09-2016
2442951,AADI PLASTIC INDUSTRIES PVT LTD,delivered,04-09-2016,04-09-2016,04-09-2016,04-09-2016,04-09-2016
2463818,AADI PLASTIC INDUSTRIES PVT LTD,delivered,13-09-2016,13-09-2016,13-09-2016,13-09-2016,13-09-2016
2463851,AADI PLASTIC INDUSTRIES PVT LTD,delivered,15-09-2016,15-09-2016,15-09-2016,15-09-2016,15-09-2016
2463859,AADI PLASTIC INDUSTRIES PVT LTD,delivered,15-09-2016,15-09-2016,15-09-2016,15-09-2016,15-09-2016
2463860,AADI PLASTIC INDUSTRIES PVT LTD,delivered,15-09-2016,15-09-2016,15-09-2016,15-09-2016,15-09-2016
2463975,AADI PLASTIC INDUSTRIES PVT LTD,delivered,18-09-2016,18-09-2016,18-09-2016,18-09-2016,18-09-2016
2464025,AADI PLASTIC INDUSTRIES PVT LTD,delivered,23-09-2016,23-09-2016,23-09-2016,23-09-2016,23-09-2016
2464035,AADI PLASTIC INDUSTRIES PVT LTD,delivered,25-09-2016,25-09-2016,25-09-2016,25-09-2016,25-09-2016
2464059,AADI PLASTIC INDUSTRIES PVT LTD,delivered,26-09-2016,26-09-2016,26-09-2016,26-09-2016,26-09-2016
2463932,AADI PLASTIC INDUSTRIES PVT LTD,shipped,29-09-2016,29-09-2016,29-09-2016,29-09-2016,29-09-2016
2463933,AADI PLASTIC INDUSTRIES PVT LTD,delivered,29-09-2016,29-09-2016,29-09-2016,29-09-2016,29-09-2016
2463934,AADI PLASTIC INDUSTRIES PVT LTD,delivered,29-09-2016,29-09-2016,29-09-2016,29-09-2016,29-09-2016
21212121,AADI PLASTIC INDUSTRIES PVT LTD,delivered,13-03-2018,13-03-2018,13-03-2018,13-03-2018,13-03-2018
4451184,AADI PLASTIC INDUSTRIES PVT LTD,delivered,20-06-2016,20-06-2016,20-06-2016,20-06-2016,20-06-2016
2407783,ANDHRA BANK,delivered,05-07-2016,05-07-2016,05-07-2016,05-07-2016,05-07-2016
2407784,ANDHRA BANK,delivered,05-07-2016,05-07-2016,05-07-2016,05-07-2016,05-07-2016
2407785,ANDHRA BANK,delivered,05-07-2016,05-07-2016,05-07-2016,05-07-2016,05-07-2016
2407786,ANDHRA BANK,delivered,07-07-2016,07-07-2016,07-07-2016,07-07-2016,07-07-2016
2407787,ANDHRA BANK,delivered,12-07-2016,12-07-2016,12-07-2016,12-07-2016,12-07-2016
2407788,ANDHRA BANK,delivered,12-07-2016,12-07-2016,12-07-2016,12-07-2016,12-07-2016
2407789,ANDHRA BANK,delivered,12-07-2016,12-07-2016,12-07-2016,12-07-2016,12-07-2016
2407790,ANDHRA BANK,delivered,17-07-2016,17-07-2016,17-07-2016,17-07-2016,17-07-2016
2407791,ANDHRA BANK,delivered,17-07-2016,17-07-2016,17-07-2016,17-07-2016,17-07-2016
5419293,ANDHRA BANK,delivered,17-07-2016,17-07-2016,17-07-2016,17-07-2016,17-07-2016
2407792,ANDHRA BANK,delivered,18-07-2016,18-07-2016,18-07-2016,18-07-2016,18-07-2016
5419296,ANDHRA BANK,delivered,18-07-2016,18-07-2016,18-07-2016,18-07-2016,18-07-2016
2407794,ANDHRA BANK,delivered,20-07-2016,20-07-2016,20-07-2016,20-07-2016,20-07-2016
2407795,ANDHRA BANK,delivered,21-07-2016,21-07-2016,21-07-2016,21-07-2016,21-07-2016
2407796,ANDHRA BANK,delivered,24-07-2016,24-07-2016,24-07-2016,24-07-2016,24-07-2016
2407797,ANDHRA BANK,delivered,25-07-2016,25-07-2016,25-07-2016,25-07-2016,25-07-2016
2407798,ANDHRA BANK,delivered,25-07-2016,25-07-2016,25-07-2016,25-07-2016,25-07-2016
2407799,ANDHRA BANK,delivered,26-07-2016,26-07-2016,26-07-2016,26-07-2016,26-07-2016
2407800,ANDHRA BANK,delivered,26-07-2016,26-07-2016,26-07-2016,26-07-2016,26-07-2016
2407801,ANDHRA BANK,delivered,27-07-2016,27-07-2016,27-07-2016,27-07-2016,27-07-2016
2407802,ANDHRA BANK,delivered,29-07-2016,29-07-2016,29-07-2016,29-07-2016,29-07-2016
2407803,ANDHRA BANK,delivered,29-07-2016,29-07-2016,29-07-2016,29-07-2016,29-07-2016
2407804,ANDHRA BANK,delivered,29-07-2016,29-07-2016,29-07-2016,29-07-2016,29-07-2016
2407793,ANDHRA BANK,delivered,30-07-2016,30-07-2016,30-07-2016,30-07-2016,30-07-2016
2407805,ANDHRA BANK,delivered,04-08-2016,04-08-2016,04-08-2016,04-08-2016,04-08-2016
2407806,ANDHRA BANK,delivered,04-08-2016,04-08-2016,04-08-2016,04-08-2016,04-08-2016
2450928,ANDHRA BANK,delivered,07-08-2016,07-08-2016,07-08-2016,07-08-2016,07-08-2016
2450929,ANDHRA BANK,delivered,07-08-2016,07-08-2016,07-08-2016,07-08-2016,07-08-2016
2407807,ANDHRA BANK,delivered,09-08-2016,09-08-2016,09-08-2016,09-08-2016,09-08-2016
2407808,ANDHRA BANK,delivered,09-08-2016,09-08-2016,09-08-2016,09-08-2016,09-08-2016
2407809,ANDHRA BANK,delivered,09-08-2016,09-08-2016,09-08-2016,09-08-2016,09-08-2016
2407810,ANDHRA BANK,delivered,10-08-2016,10-08-2016,10-08-2016,10-08-2016,10-08-2016
2407811,ANDHRA BANK,invoiced,11-08-2016,11-08-2016,11-08-2016,11-08-2016,11-08-2016
2407812,ANDHRA BANK,delivered,11-08-2016,11-08-2016,11-08-2016,11-08-2016,11-08-2016
2407814,ANDHRA BANK,delivered,16-08-2016,16-08-2016,16-08-2016,16-08-2016,16-08-2016
2407813,ANDHRA BANK,delivered,16-08-2016,16-08-2016,16-08-2016,16-08-2016,16-08-2016
2407815,ANDHRA BANK,delivered,19-08-2016,19-08-2016,19-08-2016,19-08-2016,19-08-2016
2407816,ANDHRA BANK,delivered,19-08-2016,19-08-2016,19-08-2016,19-08-2016,19-08-2016
2451165,ANDHRA BANK,delivered,21-08-2016,21-08-2016,21-08-2016,21-08-2016,21-08-2016
2407817,ANDHRA BANK,delivered,23-08-2016,23-08-2016,23-08-2016,23-08-2016,23-08-2016
2407818,ANDHRA BANK,delivered,23-08-2016,23-08-2016,23-08-2016,23-08-2016,23-08-2016
2407819,ANDHRA BANK,delivered,24-08-2016,24-08-2016,24-08-2016,24-08-2016,24-08-2016
2407820,ANDHRA BANK,delivered,24-08-2016,24-08-2016,24-08-2016,24-08-2016,24-08-2016
2407821,ANDHRA BANK,delivered,29-08-2016,29-08-2016,29-08-2016,29-08-2016,29-08-2016
2407822,ANDHRA BANK,delivered,29-08-2016,29-08-2016,29-08-2016,29-08-2016,29-08-2016
2442978,ANDHRA BANK,delivered,06-09-2016,06-09-2016,06-09-2016,06-09-2016,06-09-2016
2442979,ANDHRA BANK,delivered,06-09-2016,06-09-2016,06-09-2016,06-09-2016,06-09-2016
2443079,ANDHRA BANK,delivered,11-09-2016,11-09-2016,11-09-2016,11-09-2016,11-09-2016
2443080,ANDHRA BANK,delivered,11-09-2016,11-09-2016,11-09-2016,11-09-2016,11-09-2016
2443081,ANDHRA BANK,delivered,11-09-2016,11-09-2016,11-09-2016,11-09-2016,11-09-2016
2407823,ANDHRA BANK,delivered,13-09-2016,13-09-2016,13-09-2016,13-09-2016,13-09-2016
2407824,ANDHRA BANK,delivered,13-09-2016,13-09-2016,13-09-2016,13-09-2016,13-09-2016
2407825,ANDHRA BANK,delivered,13-09-2016,13-09-2016,13-09-2016,13-09-2016,13-09-2016
2407826,ANDHRA BANK,delivered,13-09-2016,13-09-2016,13-09-2016,13-09-2016,13-09-2016
2407827,ANDHRA BANK,delivered,13-09-2016,13-09-2016,13-09-2016,13-09-2016,13-09-2016
2407828,ANDHRA BANK,delivered,13-09-2016,13-09-2016,13-09-2016,13-09-2016,13-09-2016
2407829,ANDHRA BANK,delivered,15-09-2016,15-09-2016,15-09-2016,15-09-2016,15-09-2016
2407830,ANDHRA BANK,delivered,15-09-2016,15-09-2016,15-09-2016,15-09-2016,15-09-2016
2407831,ANDHRA BANK,delivered,19-09-2016,19-09-2016,19-09-2016,19-09-2016,19-09-2016
2407832,ANDHRA BANK,delivered,19-09-2016,19-09-2016,19-09-2016,19-09-2016,19-09-2016
2407833,ANDHRA BANK,delivered,19-09-2016,19-09-2016,19-09-2016,19-09-2016,19-09-2016
2407834,ANDHRA BANK,delivered,22-09-2016,22-09-2016,22-09-2016,22-09-2016,22-09-2016
2407835,ANDHRA BANK,delivered,22-09-2016,22-09-2016,22-09-2016,22-09-2016,22-09-2016
2407836,ANDHRA BANK,delivered,22-09-2016,22-09-2016,22-09-2016,22-09-2016,22-09-2016
2407837,ANDHRA BANK,delivered,22-09-2016,22-09-2016,22-09-2016,22-09-2016,22-09-2016
2407838,ANDHRA BANK,delivered,26-09-2016,26-09-2016,26-09-2016,26-09-2016,26-09-2016
2407839,ANDHRA BANK,delivered,27-09-2016,27-09-2016,27-09-2016,27-09-2016,27-09-2016
2416064,ANGEL BROKING PVT LTD,delivered,01-07-2016,01-07-2016,01-07-2016,01-07-2016,01-07-2016
2416094,ANGEL BROKING PVT LTD,shipped,03-07-2016,03-07-2016,03-07-2016,03-07-2016,03-07-2016
5419263,ANGEL BROKING PVT LTD,delivered,03-07-2016,03-07-2016,03-07-2016,03-07-2016,03-07-2016
2448215,ANGEL BROKING PVT LTD,delivered,05-07-2016,05-07-2016,05-07-2016,05-07-2016,05-07-2016
2448216,ANGEL BROKING PVT LTD,delivered,05-07-2016,05-07-2016,05-07-2016,05-07-2016,05-07-2016
2448217,ANGEL BROKING PVT LTD,delivered,05-07-2016,05-07-2016,05-07-2016,05-07-2016,05-07-2016
2448227,ANGEL BROKING PVT LTD,delivered,05-07-2016,05-07-2016,05-07-2016,05-07-2016,05-07-2016
2448275,ANGEL BROKING PVT LTD,delivered,08-07-2016,08-07-2016,08-07-2016,08-07-2016,08-07-2016
2448294,ANGEL BROKING PVT LTD,delivered,10-07-2016,10-07-2016,10-07-2016,10-07-2016,10-07-2016
2448296,ANGEL BROKING PVT LTD,delivered,10-07-2016,10-07-2016,10-07-2016,10-07-2016,10-07-2016
2448295,ANGEL BROKING PVT LTD,delivered,10-07-2016,10-07-2016,10-07-2016,10-07-2016,10-07-2016
2448335,ANGEL BROKING PVT LTD,delivered,12-07-2016,12-07-2016,12-07-2016,12-07-2016,12-07-2016
2448362,ANGEL BROKING PVT LTD,delivered,13-07-2016,13-07-2016,13-07-2016,13-07-2016,13-07-2016
2448372,ANGEL BROKING PVT LTD,delivered,14-07-2016,14-07-2016,14-07-2016,14-07-2016,14-07-2016
2448373,ANGEL BROKING PVT LTD,delivered,14-07-2016,14-07-2016,14-07-2016,14-07-2016,14-07-2016
2448374,ANGEL BROKING PVT LTD,delivered,14-07-2016,14-07-2016,14-07-2016,14-07-2016,14-07-2016
2448385,ANGEL BROKING PVT LTD,delivered,15-07-2016,15-07-2016,15-07-2016,15-07-2016,15-07-2016
2448386,ANGEL BROKING PVT LTD,delivered,15-07-2016,15-07-2016,15-07-2016,15-07-2016,15-07-2016
2448401,ANGEL BROKING PVT LTD,delivered,17-07-2016,17-07-2016,17-07-2016,17-07-2016,17-07-2016
2448418,ANGEL BROKING PVT LTD,delivered,18-07-2016,18-07-2016,18-07-2016,18-07-2016,18-07-2016
2448419,ANGEL BROKING PVT LTD,delivered,18-07-2016,18-07-2016,18-07-2016,18-07-2016,18-07-2016
2448444,ANGEL BROKING PVT LTD,delivered,20-07-2016,20-07-2016,20-07-2016,20-07-2016,20-07-2016
2448445,ANGEL BROKING PVT LTD,delivered,20-07-2016,20-07-2016,20-07-2016,20-07-2016,20-07-2016
2448470,ANGEL BROKING PVT LTD,delivered,22-07-2016,22-07-2016,22-07-2016,22-07-2016,22-07-2016
2448471,ANGEL BROKING PVT LTD,delivered,22-07-2016,22-07-2016,22-07-2016,22-07-2016,22-07-2016
2448606,ANGEL BROKING PVT LTD,delivered,27-07-2016,27-07-2016,27-07-2016,27-07-2016,27-07-2016
2448607,ANGEL BROKING PVT LTD,delivered,27-07-2016,27-07-2016,27-07-2016,27-07-2016,27-07-2016
2448608,ANGEL BROKING PVT LTD,delivered,27-07-2016,27-07-2016,27-07-2016,27-07-2016,27-07-2016
2448629,ANGEL BROKING PVT LTD,delivered,28-07-2016,28-07-2016,28-07-2016,28-07-2016,28-07-2016
2448630,ANGEL BROKING PVT LTD,delivered,28-07-2016,28-07-2016,28-07-2016,28-07-2016,28-07-2016
2448649,ANGEL BROKING PVT LTD,delivered,29-07-2016,29-07-2016,29-07-2016,29-07-2016,29-07-2016
2448650,ANGEL BROKING PVT LTD,delivered,29-07-2016,29-07-2016,29-07-2016,29-07-2016,29-07-2016
2448682,ANGEL BROKING PVT LTD,delivered,31-07-2016,31-07-2016,31-07-2016,31-07-2016,31-07-2016
2448689,ANGEL BROKING PVT LTD,delivered,01-08-2016,01-08-2016,01-08-2016,01-08-2016,01-08-2016
2448690,ANGEL BROKING PVT LTD,delivered,01-08-2016,01-08-2016,01-08-2016,01-08-2016,01-08-2016
2448725,ANGEL BROKING PVT LTD,delivered,02-08-2016,02-08-2016,02-08-2016,02-08-2016,02-08-2016
2448726,ANGEL BROKING PVT LTD,delivered,02-08-2016,02-08-2016,02-08-2016,02-08-2016,02-08-2016
2448727,ANGEL BROKING PVT LTD,delivered,02-08-2016,02-08-2016,02-08-2016,02-08-2016,02-08-2016
2448728,ANGEL BROKING PVT LTD,delivered,02-08-2016,02-08-2016,02-08-2016,02-08-2016,02-08-2016
2448754,ANGEL BROKING PVT LTD,delivered,03-08-2016,03-08-2016,03-08-2016,03-08-2016,03-08-2016
2450908,ANGEL BROKING PVT LTD,delivered,05-08-2016,05-08-2016,05-08-2016,05-08-2016,05-08-2016
2450909,ANGEL BROKING PVT LTD,delivered,05-08-2016,05-08-2016,05-08-2016,05-08-2016,05-08-2016
2450923,ANGEL BROKING PVT LTD,delivered,07-08-2016,07-08-2016,07-08-2016,07-08-2016,07-08-2016
2450976,ANGEL BROKING PVT LTD,delivered,09-08-2016,09-08-2016,09-08-2016,09-08-2016,09-08-2016
2450977,ANGEL BROKING PVT LTD,delivered,09-08-2016,09-08-2016,09-08-2016,09-08-2016,09-08-2016
2450978,ANGEL BROKING PVT LTD,delivered,09-08-2016,09-08-2016,09-08-2016,09-08-2016,09-08-2016
2450979,ANGEL BROKING PVT LTD,delivered,09-08-2016,09-08-2016,09-08-2016,09-08-2016,09-08-2016
2451002,ANGEL BROKING PVT LTD,delivered,10-08-2016,10-08-2016,10-08-2016,10-08-2016,10-08-2016
2451050,ANGEL BROKING PVT LTD,delivered,14-08-2016,14-08-2016,14-08-2016,14-08-2016,14-08-2016
2451058,ANGEL BROKING PVT LTD,delivered,14-08-2016,14-08-2016,14-08-2016,14-08-2016,14-08-2016
2451086,ANGEL BROKING PVT LTD,delivered,16-08-2016,16-08-2016,16-08-2016,16-08-2016,16-08-2016
2451100,ANGEL BROKING PVT LTD,delivered,17-08-2016,17-08-2016,17-08-2016,17-08-2016,17-08-2016
2451113,ANGEL BROKING PVT LTD,delivered,18-08-2016,18-08-2016,18-08-2016,18-08-2016,18-08-2016
2451170,ANGEL BROKING PVT LTD,delivered,21-08-2016,21-08-2016,21-08-2016,21-08-2016,21-08-2016
2451171,ANGEL BROKING PVT LTD,delivered,21-08-2016,21-08-2016,21-08-2016,21-08-2016,21-08-2016
2451172,ANGEL BROKING PVT LTD,delivered,21-08-2016,21-08-2016,21-08-2016,21-08-2016,21-08-2016
2451200,ANGEL BROKING PVT LTD,delivered,23-08-2016,23-08-2016,23-08-2016,23-08-2016,23-08-2016
2442825,ANGEL BROKING PVT LTD,delivered,24-08-2016,24-08-2016,24-08-2016,24-08-2016,24-08-2016
2442826,ANGEL BROKING PVT LTD,delivered,24-08-2016,24-08-2016,24-08-2016,24-08-2016,24-08-2016
2442827,ANGEL BROKING PVT LTD,delivered,24-08-2016,24-08-2016,24-08-2016,24-08-2016,24-08-2016
2442828,ANGEL BROKING PVT LTD,delivered,24-08-2016,24-08-2016,24-08-2016,24-08-2016,24-08-2016
2442829,ANGEL BROKING PVT LTD,delivered,24-08-2016,24-08-2016,24-08-2016,24-08-2016,24-08-2016
2442830,ANGEL BROKING PVT LTD,delivered,24-08-2016,24-08-2016,24-08-2016,24-08-2016,24-08-2016
2442831,ANGEL BROKING PVT LTD,delivered,24-08-2016,24-08-2016,24-08-2016,24-08-2016,24-08-2016
2442930,ANGEL BROKING PVT LTD,delivered,01-09-2016,01-09-2016,01-09-2016,01-09-2016,01-09-2016
2442931,ANGEL BROKING PVT LTD,delivered,01-09-2016,01-09-2016,01-09-2016,01-09-2016,01-09-2016
2442932,ANGEL BROKING PVT LTD,delivered,01-09-2016,01-09-2016,01-09-2016,01-09-2016,01-09-2016
2449431,ANGEL BROKING PVT LTD,delivered,06-09-2016,06-09-2016,06-09-2016,06-09-2016,06-09-2016
2449432,ANGEL BROKING PVT LTD,delivered,06-09-2016,06-09-2016,06-09-2016,06-09-2016,06-09-2016
2443022,ANGEL BROKING PVT LTD,delivered,07-09-2016,07-09-2016,07-09-2016,07-09-2016,07-09-2016
