product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
96,Home appliances,40,287,1,225,16,10,14
96,Office furnitures,44,276,1,1000,30,18,20
96,Sports equipments,46,250,1,154,18,9,15
96,Home appliances,27,261,1,371,26,4,26
96,Home construction,37,402,4,625,20,17,13
238,Clothes,60,745,1,200,38,5,11
238,Home appliances,56,1272,4,18350,70,24,44
238,Books,56,184,2,900,40,8,40
238,Beauty products,57,163,1,400,27,13,17
238,Beauty products,36,1156,1,600,17,10,12
238,Agro products,54,630,1,1100,16,10,16
238,Home appliances,49,728,4,7150,50,19,45
238,Agro products,43,1827,3,250,17,7,17
238,Agro products,51,2083,2,600,68,11,13
238,Home appliances,59,1602,4,200,17,7,17
375,Books,22,3021,1,800,16,2,11
375,Beauty products,39,346,2,400,27,5,20
375,Electronics,59,636,1,900,40,15,20
375,Clothes,56,296,2,1700,100,7,15
375,Home appliances,52,206,1,500,16,10,16
375,Beauty products,27,158,4,2550,29,24,45
375,Beauty products,27,329,2,800,36,8,16
375,Beauty products,58,1987,3,75,21,7,13
375,Home construction,55,1627,1,500,20,13,13
375,Sports equipments,56,209,1,1800,40,10,30
375,Beauty products,52,968,1,900,50,5,50
375,Sports equipments,52,573,5,3600,35,25,50
375,Clothes,35,1101,2,300,42,2,30
483,Books,59,1890,2,740,23,13,13
484,Housewares,50,529,2,3600,62,23,23
140,Clothes,45,206,1,650,16,10,16
140,Clothes,49,1163,9,2150,70,8,34
140,Home appliances,60,208,1,800,40,10,34
140,Housewares,57,476,1,8950,52,51,17
140,Beauty products,50,699,4,1388,34,9,31
140,Beauty products,52,708,9,7950,33,30,44
140,Clothes,43,1062,2,6000,87,3,42
140,Home construction,31,806,1,263,18,12,16
140,Computer accessories,37,352,1,3900,19,20,15
140,Office furnitures,47,502,1,600,25,25,25
140,Books,63,254,2,2050,49,13,41
140,Books,33,471,2,725,22,17,15
140,Beauty products,56,509,4,6350,45,15,35
140,Office furnitures,47,980,4,600,70,11,11
140,Office furnitures,38,1701,2,11750,18,40,79
140,Office furnitures,20,866,3,2550,22,32,38
140,Office furnitures,38,1176,3,15350,47,40,47
140,Books,42,303,2,1300,25,16,25
140,Home construction,60,1972,2,850,69,11,11
140,Electronics,60,330,1,1300,19,28,17
140,Home appliances,53,3218,5,4800,60,30,15
140,Office furnitures,55,410,2,1300,36,16,24
140,Computer accessories,57,311,1,220,18,14,17
140,Housewares,50,509,4,5700,41,17,49
239,Sports equipments,53,1291,2,450,20,40,30
239,Beauty products,60,402,2,2000,32,12,37
239,Computer accessories,51,427,2,100,19,3,11
239,Beauty products,58,1252,1,1100,30,20,23
239,Clothes,49,488,3,1400,38,40,39
239,Sports equipments,50,423,4,250,20,14,12
239,Agro products,47,956,1,1050,25,20,14
239,Beauty products,59,144,1,500,24,7,16
239,Home appliances,51,1069,1,1467,23,16,20
239,Beauty products,50,554,3,100,16,5,11
239,Sports equipments,41,92,1,100,16,5,16
239,Home appliances,43,198,2,300,23,7,15
239,Beauty products,50,255,2,950,60,15,15
239,Home appliances,33,200,1,250,17,3,11
239,Office furnitures,55,1067,1,12000,27,50,53
239,Clothes,60,1543,6,921,17,9,16
239,Clothes,55,1441,1,10000,60,25,25
