state_name,state_code,lat,long
ANDRA PRADESH,ANDRA PRADESH,15.9129,79.74
ASSAM,ASSAM,26.2006,92.9376
COMMON,COMMON,19.7515,75.7139
DAKSHINA KANNADA,DAKSHINA KANNADA,12.8438,75.2479
DELHI,DELHI,28.704,77.1025
GOA,GOA,15.2993,74.124
GUJRAT,GUJRAT,22.2587,71.1924
HARIYANA,HARIYANA,29.0588,76.0856
INT. SECTOR 1,INT. SECTOR 1,15.3173,75.7139
JAMMU & KASHMIR,JAMMU & KASHMIR,33.2778,75.3412
KARNATAKA,KARNATAKA,15.3173,75.7139
KERALA,KERALA,10.8505,76.2711
LOCAL,LOCAL,19.7515,75.7139
MADYA PRADESH,MADYA PRADESH,22.9734,78.6569
MAHARASHTRA,MAHARASHTRA,19.7515,75.7139
ORISA,ORISA,20.9517,85.0985
PUNJAB,PUNJAB,31.1471,75.3412
RAJASTAN,RAJASTAN,27.0238,74.2179
TAMIL NADU,TAMIL NADU,11.1271,78.6569
TRIPURA,TRIPURA,23.9408,91.9882
UTTAR PRADESH,UTTAR PRADESH,26.8467,80.9462
WEST BENGAL,WEST BENGAL,22.9868,87.855
